ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
BVS,3,2020,6.5,0.4,0.067,0.05,1692,26017.0,0.76,3.2,-0.014,0.016
BVS,2,2020,5.1,0.3,0.069,0.053,1715,25614.0,0.814,4.4,0.487,0.049
BVS,1,2020,6.1,0.3,0.048,0.036,1154,24411.0,0.793,3.8,-0.385,-0.024
BVS,4,2019,4.8,0.4,0.077,0.051,1875,25021.0,0.753,3.1,0.142,0.011
BVS,3,2019,5.8,0.4,0.067,0.041,1642,24746.0,0.733,2.7,0.068,0.018
BVS,2,2019,6.4,0.4,0.063,0.035,1536,24319.0,0.719,2.6,0.069,0.02
BVS,1,2019,7.8,0.5,0.06,0.026,1437,23842.0,0.709,2.4,0.005,0.017
BVS,4,2018,7.8,0.5,0.061,0.041,1430,23433.0,0.578,1.4,-0.134,-0.021
BVS,3,2018,7.5,0.5,0.07,0.046,1651,23946.0,0.527,1.1,0.023,-0.012
BVS,2,2018,8.2,0.5,0.069,0.041,1613,24246.0,0.454,0.8,-0.068,0.008
BVS,1,2018,9.1,0.7,0.076,0.033,1732,24044.0,0.306,0.4,0.025,0.022
BVS,4,2017,10.1,0.7,0.075,0.062,1689,23515.0,0.807,4.2,0.137,0.026
BVS,3,2017,10.9,0.7,0.068,0.059,1485,22919.0,0.849,5.6,0.101,0.018
BVS,2,2017,11.6,0.7,0.062,0.054,1350,22504.0,0.876,7.0,-0.005,0.032
BVS,1,2017,9.5,0.6,0.064,0.057,1357,21799.0,0.874,6.9,0.067,0.017
BVS,4,2016,10.2,0.6,0.061,0.046,1272,21441.0,0.835,5.1,-0.1,0.021
BVS,3,2016,10.2,0.7,0.07,0.056,1414,21006.0,0.89,8.1,-0.021,0.01
BVS,2,2016,7.0,0.5,0.072,0.049,1444,20801.0,0.859,6.1,0.06,0.022
BVS,1,2016,7.3,0.5,0.069,0.057,1363,20361.0,0.885,7.7,-0.152,0.013
BVS,4,2015,5.9,0.5,,0.058,1608,20099.0,0.689,2.2,-0.073,0.023
BVS,3,2015,5.9,0.5,,0.063,1735,19651.0,0.729,2.7,-0.085,0.012
BVS,2,2015,6.4,0.6,,0.061,1896,19416.0,0.565,1.3,0.029,0.017
BVS,1,2015,6.0,0.6,,0.067,1843,19093.0,0.762,3.2,0.015,
