TradingDate,Open,High,Low,Close,Volume,percent_change
9/29/2015,5352,5513,5432,5432,106669,-0.014513788
9/28/2015,5352,5593,5431,5512,108200,0
9/25/2015,5432,5670,5508,5512,102100,0
9/24/2015,5352,5676,5512,5512,112900,0
9/23/2015,5352,5593,5431,5512,103600,0
9/22/2015,5512,5512,5512,5512,4100,0
9/21/2015,5352,5593,5431,5512,3300,-0.014306152
9/18/2015,5352,5678,5434,5592,8600,0
9/17/2015,5352,5772,5525,5592,13900,0
9/16/2015,5352,5838,5588,5592,14000,0
9/15/2015,5352,5842,5592,5592,10000,0
9/14/2015,5352,5842,5592,5592,6200,0
9/11/2015,5352,5777,5447,5592,2800,-0.013930524
9/10/2015,5352,6010,5671,5671,25800,0
9/9/2015,5432,5922,5671,5671,5300,0.014127325
9/8/2015,5272,5791,5460,5592,11600,0
9/7/2015,5192,5842,5425,5592,5700,0
9/4/2015,5192,6000,5571,5592,8400,0
9/3/2015,5272,5895,5558,5592,7000,0.014513788
9/1/2015,5192,5601,5276,5512,8910,0
8/31/2015,5192,5613,5288,5512,2900,0
8/28/2015,5192,5800,5464,5512,1700,0
8/27/2015,5512,5858,5440,5512,4200,0
8/26/2015,5192,5602,5277,5512,3700,0
8/25/2015,5192,5928,5498,5512,5200,0
8/24/2015,5512,5512,5512,5512,5000,0
8/21/2015,5112,5762,5345,5512,1200,0
8/20/2015,5192,5663,5334,5512,7800,-0.014306152
8/19/2015,5192,6022,5592,5592,7200,0
8/18/2015,5112,5793,5296,5592,1600,0
8/17/2015,5592,5989,5391,5592,11600,0
8/14/2015,5112,5864,5361,5592,2300,0
8/13/2015,5432,5756,5592,5592,1100,0
8/12/2015,5112,6116,5592,5592,1200,0
8/11/2015,5272,5930,5592,5592,1000,0
8/10/2015,5272,5930,5592,5592,600,0
8/7/2015,5432,5756,5592,5592,5100,0
8/6/2015,5272,6041,5454,5592,3900,-0.027647366
8/5/2015,5751,5751,5751,5751,1000,0.028433476
8/4/2015,5592,6071,5481,5592,1300,0
8/3/2015,5192,5799,5385,5592,200,0
7/31/2015,5192,5968,5542,5592,5200,0
7/30/2015,5192,5980,5553,5592,1100,-0.027647366
7/29/2015,5192,6309,5695,5751,1100,0.028433476
7/28/2015,5592,5592,5592,5592,100,0.014513788
7/27/2015,5592,5512,5433,5512,700,-0.079953263
7/24/2015,5751,6047,5806,5991,3300,0.071351931
7/23/2015,5432,5774,5526,5592,2445,-0.027647366
7/22/2015,5352,6090,5667,5751,700,0.028433476
7/21/2015,5592,5592,5592,5592,100,-0.027647366
7/20/2015,5751,5751,5751,5751,0,0
7/17/2015,5352,6005,5365,5751,1400,0
7/16/2015,5751,5751,5751,5751,200,-0.04006009
7/15/2015,5991,5991,5991,5991,1100,0.086901306
7/14/2015,5592,5551,5472,5512,200,-0.04155799
7/13/2015,5751,5751,5751,5751,0,0
7/10/2015,5751,5751,5751,5751,100,0
7/9/2015,5751,5751,5751,5751,0,0
7/8/2015,5751,5751,5751,5751,2100,0
7/7/2015,5751,5751,5751,5751,1600,0
7/6/2015,5751,5905,5741,5751,10100,0.043359942
7/3/2015,5432,5593,5512,5512,200,0
7/2/2015,5512,5512,5512,5512,0,0
7/1/2015,5032,5762,5261,5512,200,0
6/30/2015,5512,5512,5512,5512,78,0
6/29/2015,5512,5512,5512,5512,200,0
6/26/2015,5512,5512,5512,5512,500,0
6/25/2015,5512,5512,5512,5512,100,0.029895366
6/24/2015,5352,5352,5352,5352,700,0
6/23/2015,5352,5352,5352,5352,100,-0.014727541
6/22/2015,5432,5432,5432,5432,0,0
6/19/2015,5432,5432,5432,5432,700,0.014947683
6/18/2015,5352,5352,5352,5352,0,0
6/17/2015,5592,5536,5299,5352,1400,0
6/16/2015,5671,5659,5181,5352,1300,0
6/15/2015,5352,5352,5352,5352,0,0
6/12/2015,5432,5425,5345,5352,1100,0
6/11/2015,5112,5475,5229,5352,200,0
6/10/2015,5352,5352,5352,5352,2500,-0.014727541
6/9/2015,5432,5432,5432,5432,0,0
6/8/2015,5352,5513,5432,5432,88400,0
6/5/2015,5352,5513,5432,5432,90000,0
6/4/2015,5272,5559,5395,5432,2600,0
6/3/2015,5352,5513,5432,5432,2400,0
6/2/2015,5272,5513,5351,5432,91100,0
6/1/2015,5432,5432,5432,5432,0,0
5/29/2015,5432,5472,5392,5432,400,0
5/28/2015,5432,5432,5432,5432,100,-0.014513788
5/27/2015,5352,5593,5431,5512,210,0
5/26/2015,5512,5512,5512,5512,10,0
5/25/2015,5432,5593,5512,5512,6100,0
5/22/2015,5512,5512,5512,5512,100,0.061633282
5/21/2015,5192,5268,4962,5192,96200,-0.071530758
5/20/2015,4953,5636,4992,5592,95500,0.044843049
5/19/2015,5192,5496,5332,5352,131500,0.015174507
5/18/2015,5192,5410,5249,5272,4930,-0.014947683
5/15/2015,5192,5433,5271,5352,106100,0
5/14/2015,5272,5514,5349,5352,96700,0.015174507
5/13/2015,5192,5435,5120,5272,94500,0
5/12/2015,5112,5355,5193,5272,89600,0
5/11/2015,5192,5352,5270,5272,95526,0
5/8/2015,5272,5359,5199,5272,108200,-0.014947683
5/7/2015,5352,5354,5274,5352,99700,0
5/6/2015,5432,5588,5269,5352,106500,0.015174507
5/5/2015,4873,5395,4986,5272,400,-0.014947683
5/4/2015,4953,5632,5212,5352,370,0
4/27/2015,5352,5352,5352,5352,400,0.080557238
4/24/2015,5192,4991,4761,4953,700,-0.07455157
4/23/2015,5352,5352,5352,5352,0,0
4/22/2015,5352,5352,5352,5352,0,0
4/21/2015,5112,5548,5134,5352,19200,0
4/20/2015,5352,5352,5352,5352,0,0
4/17/2015,5352,5352,5352,5352,0,0
4/16/2015,5192,5705,5194,5352,5300,0
4/15/2015,5352,5352,5352,5352,0,0
4/14/2015,5432,5352,5273,5352,4400,0
4/13/2015,5192,5517,5352,5352,700,0
4/10/2015,5272,5402,5321,5352,1600,0
4/9/2015,5352,5352,5352,5352,1500,-0.014727541
4/8/2015,5192,5704,5373,5432,7700,-0.014513788
4/7/2015,5272,5593,5194,5512,111600,0
4/6/2015,5512,5512,5512,5512,0,0
4/3/2015,5192,5845,5427,5512,31700,0.061633282
4/2/2015,4873,5588,5158,5192,5800,0.015649452
4/1/2015,5112,5112,5112,5112,0,0
3/31/2015,5032,5330,4997,5112,4600,0.015898251
3/30/2015,5032,5267,5017,5032,3200,0.086121304
3/27/2015,5112,4705,4199,4633,500,-0.079292528
3/26/2015,5032,5032,5032,5032,100,-0.015649452
3/25/2015,5112,5179,5099,5112,1200,0.015898251
3/24/2015,4953,5147,4983,5032,1300,0
3/23/2015,4953,5114,5032,5032,2200,0
3/20/2015,5032,5205,4875,5032,2300,0.032628771
3/19/2015,4953,4964,4654,4873,1800,-0.031597774
3/18/2015,5032,5032,5032,5032,1100,-0.030816641
3/17/2015,4953,5301,5056,5192,400,0
3/16/2015,4873,5357,5027,5192,300,-0.029895366
3/13/2015,5112,5520,5190,5352,13700,0.030816641
3/12/2015,5192,5192,5192,5192,2220,-0.029895366
3/11/2015,5112,5436,5193,5352,11810,0
3/10/2015,5272,5428,5268,5352,1900,-0.014727541
3/9/2015,5671,5999,5069,5432,56630,0.046224961
3/6/2015,5192,5321,5075,5192,13600,0
3/5/2015,5751,5639,5091,5192,700,-0.015174507
3/4/2015,5112,5734,5213,5272,3000,0
3/3/2015,5272,5272,5272,5272,430,0
3/2/2015,5192,5351,5270,5272,3500,0.01540832
2/27/2015,5432,5390,5153,5192,1500,0
2/26/2015,5432,5321,5087,5192,2000,-0.015174507
2/25/2015,5112,5356,5194,5272,9700,-0.057224607
2/24/2015,5272,6004,5575,5592,3100,0
2/13/2015,5592,5592,5592,5592,0,0
2/12/2015,5592,5592,5592,5592,100,-0.027647366
2/11/2015,5592,5832,5670,5751,1000,0.058726068
2/10/2015,5432,5432,5432,5432,0,0
2/9/2015,4953,6109,5188,5432,6900,0
2/6/2015,5671,5582,5199,5432,2500,-0.014513788
