TradingDate,Open,High,Low,Close,Volume,percent_change
4/1/2021,17467,18023,17406,18023,19588200,0.037294964
3/31/2021,17498,17622,17344,17375,10510400,-0.005267075
3/30/2021,17467,17714,17251,17467,13184900,0.001720479
3/29/2021,17066,17467,16974,17437,16883500,0.027277012
3/26/2021,16850,17128,16511,16974,14311100,-0.001822993
3/25/2021,17097,17282,16974,17005,13199800,-0.00176108
3/24/2021,17282,17375,16912,17035,16076400,-0.026460167
3/23/2021,17684,17714,17437,17498,15105300,-0.010517982
3/22/2021,18023,18054,17591,17684,15628700,-0.018809299
3/19/2021,17900,18116,17900,18023,9917000,0
3/18/2021,18085,18116,17900,18023,13051200,0.006871508
3/17/2021,17684,17900,17684,17900,14185100,0.012214431
3/16/2021,17961,17992,17498,17684,12749900,-0.008633255
3/15/2021,17529,17838,17406,17838,23273400,0.022997075
3/12/2021,17529,17560,17375,17437,16339100,0
3/11/2021,17467,17591,17344,17437,16459200,0.010781984
3/10/2021,16912,17344,16727,17251,21590100,0.02379822
3/9/2021,16789,17005,16665,16850,12179900,-0.010859994
3/8/2021,17097,17190,16819,17035,14809500,0.009122682
3/5/2021,16758,16974,16542,16881,19035300,0.007339778
3/4/2021,17282,17406,16603,16758,23153000,-0.030320565
3/3/2021,17282,17529,17221,17282,16468900,-0.003574723
3/2/2021,17684,17714,17282,17344,14005100,-0.008801006
3/1/2021,17313,17560,17221,17498,22065400,0.025313489
2/26/2021,16542,17159,16480,17066,22352200,0.012818991
2/25/2021,16850,16943,16572,16850,17887600,0.01110111
2/24/2021,17035,17159,16603,16665,19888900,-0.014605014
2/23/2021,16511,16974,16418,16912,31587900,0.026213592
2/22/2021,16572,16758,16233,16480,19791100,-0.005551533
2/19/2021,16048,16912,15924,16572,30003300,0.024797477
2/18/2021,16048,16233,15801,16171,23346000,0.015511178
2/17/2021,15554,15924,15431,15924,18470000,0.042419482
2/9/2021,14813,15276,14690,15276,15933800,0.035520607
2/8/2021,15307,15554,14721,14752,22263700,-0.034302173
2/5/2021,14937,15307,14844,15276,11885000,0.029102668
2/4/2021,14968,15029,14690,14844,11089600,-0.00828434
2/3/2021,14597,15029,14443,14968,19837900,0.038578962
2/2/2021,13888,14443,13548,14412,14396700,0.061344723
2/1/2021,14196,14505,13548,13579,16163000,-0.061835015
1/29/2021,13147,14505,13147,14474,19607700,0.049220732
1/28/2021,13888,14196,13795,13795,20362200,-0.068723419
1/27/2021,15307,15585,14721,14813,22798000,-0.062527688
1/26/2021,15523,15801,14659,15801,19797100,0.015880159
1/25/2021,15616,15924,15523,15554,10924900,-0.015631922
1/22/2021,15801,16017,15616,15801,12400500,-0.00772419
1/21/2021,15431,15924,15060,15924,14714600,0.057370518
1/20/2021,15060,15276,14134,15060,23198100,0
1/19/2021,16171,16171,15060,15060,22184900,-0.068703234
1/18/2021,16511,16572,16171,16171,13838300,-0.020592332
1/15/2021,16480,16789,16387,16511,19922700,0.0132556
1/14/2021,16233,16295,15955,16295,20138800,0.015391326
1/13/2021,16140,16418,15986,16048,18649800,-0.005700124
1/12/2021,16264,16356,15863,16140,16552100,-0.007624201
1/11/2021,16665,16789,16171,16264,23381600,-0.009379949
1/8/2021,16079,16881,16048,16418,25861800,0.027023646
1/7/2021,15708,16017,15585,15986,18918200,0.023693648
1/6/2021,15739,16048,15431,15616,22063300,0.00599111
1/5/2021,14906,15523,14783,15523,34044900,0.050057498
1/4/2021,14443,15029,14258,14783,42370800,0.041349676
12/31/2020,14227,14258,14165,14196,14034660,0.004386586
12/30/2020,14134,14289,14134,14134,12801190,-0.002188493
12/29/2020,14227,14227,14104,14165,10912210,-0.004357911
12/28/2020,14505,14505,14104,14227,16589830,-0.002174218
12/25/2020,14073,14289,13949,14258,12807670,0.01314574
12/24/2020,14227,14289,13641,14073,16011380,-0.004315834
12/23/2020,14381,14412,14134,14134,13833600,-0.012988827
12/22/2020,14443,14628,14196,14320,22805050,-0.002090592
12/21/2020,14381,14628,14227,14350,26924800,0.006452518
12/18/2020,13888,14258,13672,14258,17502170,0.045231288
12/17/2020,13641,13764,13456,13641,16719990,-0.006699192
12/16/2020,13363,13826,13270,13733,19503010,0.034890731
12/15/2020,13486,13486,13209,13270,13083510,-0.01601661
12/14/2020,13332,13517,13332,13486,14023310,0.016277317
12/11/2020,13054,13270,12869,13270,8637130,0.021319172
12/10/2020,13239,13301,12962,12993,13602560,-0.016352487
12/9/2020,13270,13425,13178,13209,12895210,0.002352406
12/8/2020,12900,13301,12838,13178,16402560,0.021550388
12/7/2020,12931,12993,12838,12900,8253270,-0.00239734
12/4/2020,12962,13054,12869,12931,18416060,-0.002391606
12/3/2020,13301,13301,12869,12962,22447130,-0.016390955
12/2/2020,12869,13209,12869,13178,18071190,0.02401119
12/1/2020,12375,12869,12375,12869,20421100,0.024520341
11/30/2020,12591,12715,12468,12561,18510250,0.017496962
11/27/2020,12036,12345,11974,12345,15975030,0.025672981
11/26/2020,11882,12036,11851,12036,12419270,0.002582257
11/25/2020,12098,12098,11912,12005,6517830,0.005191325
11/24/2020,11974,12036,11851,11943,8564990,0.007763058
11/23/2020,11912,11974,11758,11851,9013500,-0.005120887
11/20/2020,12005,12036,11882,11912,7118600,-0.010302426
11/19/2020,12190,12221,11974,12036,13407160,-0.007585752
11/18/2020,12128,12345,12005,12128,11311450,0.005055109
11/17/2020,11820,12067,11789,12067,9945750,0.02627998
11/16/2020,12036,12098,11727,11758,20068100,-0.01292814
11/13/2020,11604,11912,11604,11912,16110590,0.032056836
11/12/2020,11295,11542,11264,11542,10547260,0.024680398
11/11/2020,11234,11326,11141,11264,9353320,0.008234873
11/10/2020,11357,11419,11172,11172,6776330,-0.008167614
11/9/2020,11172,11295,11141,11264,3710450,0.013861386
11/6/2020,11295,11357,11079,11110,3992580,-0.016378929
11/5/2020,11419,11450,11234,11295,6789020,-0.008166491
11/4/2020,11480,11480,11234,11388,4685210,0.011008523
11/3/2020,11172,11326,11110,11264,3590520,0.013861386
11/2/2020,11079,11110,10987,11110,3692210,0.011195049
10/30/2020,11048,11079,10863,10987,5736540,0
10/29/2020,10801,11048,10801,10987,6240080,0.014309453
10/28/2020,10956,11079,10801,10832,6840230,-0.01955105
10/27/2020,11357,11357,11048,11048,9536450,-0.027207889
10/26/2020,11604,11635,11357,11357,8875780,-0.023893425
10/23/2020,11727,11727,11511,11635,6605720,0.002671493
10/22/2020,11511,11604,11357,11604,7256230,0.013449782
10/21/2020,11666,11758,11450,11450,9500440,-0.007970889
10/20/2020,11295,11573,11264,11542,10529370,0.024680398
10/19/2020,11110,11326,11110,11264,10589820,0.022419897
10/16/2020,10956,11048,10925,11017,9150340,0.014176563
10/15/2020,10925,10925,10832,10863,4262410,-0.002845603
10/14/2020,10740,10956,10740,10894,4923620,0.008610314
10/13/2020,10863,10863,10709,10801,4053540,-0.002861891
10/12/2020,10894,10956,10771,10832,4828180,0
10/9/2020,10925,10925,10832,10832,3873190,-0.005691206
10/8/2020,11048,11048,10863,10894,6874020,0.002853724
10/7/2020,10956,10987,10863,10863,7245090,-0.013978397
10/6/2020,11079,11079,10925,11017,7113210,0.008421053
10/5/2020,10801,10987,10801,10925,10749710,0.025436456
10/2/2020,10681,10735,10547,10654,10888220,0
10/1/2020,10681,10735,10574,10654,7966350,0.004999528
9/30/2020,10547,10627,10493,10601,4772210,0.005119939
9/29/2020,10735,10762,10547,10547,7980230,-0.017512809
9/28/2020,10601,10788,10547,10735,8664740,0.020437262
9/25/2020,10574,10601,10386,10520,6504900,0
9/24/2020,10386,10547,10305,10520,12357250,0.020863658
9/23/2020,10359,10413,10252,10305,6764910,0
9/22/2020,10252,10332,10198,10305,9969810,0.007823961
9/21/2020,10198,10332,10118,10225,10816030,0.015997615
9/18/2020,9769,10091,9742,10064,11784520,0.035923829
9/17/2020,9688,9903,9688,9715,7410540,0
9/16/2020,9688,9742,9661,9715,2613980,0
9/15/2020,9742,9795,9688,9715,3695340,-0.002771505
9/14/2020,9661,9795,9634,9742,4580680,0.016804091
9/11/2020,9554,9608,9473,9581,2230940,0.002826041
9/10/2020,9608,9661,9554,9554,3129160,0.002834051
9/9/2020,9447,9554,9447,9527,3715080,-0.002826041
