TradingDate,Open,High,Low,Close,Volume,percent_change
8/30/2019,10350,10400,10300,10400,1448930,0.004830918
8/29/2019,10400,10450,10300,10350,1731710,0
8/28/2019,10500,10500,10350,10350,2132130,-0.009569378
8/27/2019,10550,10650,10450,10450,3932380,-0.009478673
8/26/2019,10500,10650,10450,10550,3639220,-0.014018692
8/23/2019,10400,10750,10300,10700,6009530,0.038834951
8/22/2019,10250,10400,10250,10300,2733650,0.004878049
8/21/2019,10300,10300,10200,10250,2443720,-0.004854369
8/20/2019,10300,10300,10200,10300,1236150,0.004878049
8/19/2019,10350,10400,10200,10250,1298090,-0.004854369
8/16/2019,10300,10450,10150,10300,1934150,-0.004830918
8/15/2019,10050,10350,10000,10350,3229580,0.019704433
8/14/2019,10350,10350,10150,10150,3673350,-0.004901961
8/13/2019,10300,10350,10150,10200,4097420,-0.014492754
8/12/2019,10400,10450,10300,10350,1447220,0
8/9/2019,10450,10500,10350,10350,2443760,-0.009569378
8/8/2019,10400,10450,10350,10450,1509710,0.004807692
8/7/2019,10450,10600,10400,10400,1977070,-0.004784689
8/6/2019,10350,10500,10200,10450,3117750,0
8/5/2019,10550,10600,10400,10450,2081320,-0.014150943
8/2/2019,10400,10800,10350,10600,3080950,0.00952381
8/1/2019,10700,10750,10500,10500,5005510,-0.018691589
7/31/2019,10900,10900,10600,10700,3284590,-0.013824885
7/30/2019,10950,11050,10850,10850,2008890,-0.00913242
7/29/2019,11200,11200,10900,10950,6831730,-0.01793722
7/26/2019,11200,11300,11150,11150,2702500,-0.004464286
7/25/2019,11350,11350,11200,11200,5858050,-0.013215859
7/24/2019,11500,11550,11350,11350,4401900,-0.013043478
7/23/2019,11550,11600,11500,11500,1904960,0
7/22/2019,11650,11750,11500,11500,2825190,-0.017094017
7/19/2019,11550,11750,11550,11700,4763810,0.012987013
7/18/2019,11550,11650,11500,11550,3647500,0
7/17/2019,11450,11650,11400,11550,7842600,0.013157895
7/16/2019,11400,11500,11300,11400,3238030,0.004405286
7/15/2019,11500,11500,11300,11350,3388570,-0.004385965
7/12/2019,11500,11550,11400,11400,2599730,-0.008695652
7/11/2019,11550,11550,11400,11500,2599710,0.004366812
7/10/2019,11400,11550,11350,11450,3207160,0.008810573
7/9/2019,11400,11450,11300,11350,1626810,-0.004385965
7/8/2019,11450,11500,11300,11400,2468730,0
7/5/2019,11450,11500,11400,11400,2275820,-0.004366812
7/4/2019,11400,11550,11350,11450,2407380,0.008810573
7/3/2019,11500,11500,11350,11350,2342120,-0.008733624
7/2/2019,11550,11550,11400,11450,2530270,-0.008658009
7/1/2019,11450,11600,11450,11550,4227550,0.017621145
6/28/2019,11350,11400,11250,11350,3056690,0.004424779
6/27/2019,11550,11550,11300,11300,3913270,-0.017391304
6/26/2019,11600,11650,11500,11500,2815950,-0.012875536
6/25/2019,11700,11800,11600,11650,2499830,-0.004273504
6/24/2019,11500,11700,11500,11700,3159730,0.021834061
6/21/2019,11450,11600,11400,11450,15020810,-0.004347826
6/20/2019,11300,11550,11300,11500,2744170,0.017699115
6/19/2019,11350,11400,11250,11300,1284560,0.008928571
6/18/2019,11450,11500,11200,11200,3530280,-0.021834061
6/17/2019,11650,11700,11450,11450,2865290,-0.017167382
6/14/2019,11650,11750,11600,11650,1135670,0.004310345
6/13/2019,11650,11700,11600,11600,1308500,-0.004291845
6/12/2019,11700,11800,11650,11650,556040,-0.004273504
6/11/2019,11850,11850,11700,11700,1201010,-0.008474576
6/10/2019,11750,11850,11750,11800,3030830,0.004255319
6/7/2019,11600,11750,11600,11750,1429480,0.017316017
6/6/2019,11650,11700,11550,11550,1900010,-0.008583691
6/5/2019,11700,11800,11650,11650,2401360,0.004310345
6/4/2019,11650,11700,11550,11600,2440450,0
6/3/2019,11700,11750,11500,11600,3847140,-0.012765957
5/31/2019,11750,11900,11700,11750,1928870,-0.004237288
5/30/2019,11750,11900,11700,11800,2100560,0.004255319
5/29/2019,11850,11850,11750,11750,1765170,-0.004237288
5/28/2019,11850,11950,11750,11800,2307740,0
5/27/2019,11800,11900,11750,11800,1256990,0
5/24/2019,11900,11950,11750,11800,6040540,-0.016666667
5/23/2019,12050,12150,11950,12000,1873810,-0.004149378
5/22/2019,12150,12200,12000,12050,4453110,0
5/21/2019,12000,12200,11950,12050,5450380,0.008368201
5/20/2019,12000,12050,11900,11950,2869040,0
5/17/2019,11950,12050,11950,11950,1816710,-0.004166667
5/16/2019,12150,12150,11950,12000,1844380,-0.004149378
5/15/2019,12000,12150,11950,12050,3044590,0.012605042
5/14/2019,11850,11950,11800,11900,2992760,-0.0041841
5/13/2019,11950,12050,11850,11950,1962990,-0.004166667
5/10/2019,12000,12050,11900,12000,1969450,0.008403361
5/9/2019,12150,12200,11850,11900,6642650,-0.020576132
5/8/2019,11950,12250,11950,12150,4254250,0.004132231
5/7/2019,12150,12200,12050,12100,3868150,0.004149378
5/6/2019,12200,12200,12050,12050,2757880,-0.024291498
5/3/2019,11900,12400,11900,12350,8683660,0.037815126
5/2/2019,12100,12100,11850,11900,2096650,-0.0041841
4/26/2019,11850,12000,11850,11950,1503470,0.008438819
4/25/2019,12050,12050,11800,11850,2901000,-0.01659751
4/24/2019,12150,12200,12050,12050,2009830,0
4/23/2019,11600,12200,11550,12050,4444940,0.043290043
4/22/2019,11800,11800,11550,11550,2430560,-0.017021277
4/19/2019,11800,11900,11750,11750,1650400,0
4/18/2019,12000,12000,11750,11750,2439170,-0.012605042
4/17/2019,12150,12200,11900,11900,1712260,-0.012448133
4/16/2019,12000,12150,11850,12050,3054010,-0.004132231
4/12/2019,12050,12150,12050,12100,1541760,0.004149378
4/11/2019,12200,12200,12050,12050,788760,-0.004132231
4/10/2019,12200,12250,12050,12100,1969270,-0.012244898
4/9/2019,12300,12350,12200,12250,2722310,0
4/8/2019,12250,12300,12150,12250,1881280,0
4/5/2019,12300,12300,12200,12250,1143430,-0.004065041
4/4/2019,12300,12300,12200,12300,1093530,0.004081633
4/3/2019,12200,12300,12150,12250,1428070,0.004098361
4/2/2019,12450,12500,12200,12200,1825870,-0.016129032
4/1/2019,12200,12400,12200,12400,1685150,0.016393443
3/29/2019,12200,12350,12150,12200,3432790,0.004115226
3/28/2019,12300,12300,12150,12150,4031920,-0.016194332
3/27/2019,12350,12400,12300,12350,1242070,0.004065041
3/26/2019,12300,12450,12300,12300,1684920,0.004081633
3/25/2019,12300,12450,12150,12250,3929770,-0.023904382
3/22/2019,12600,12650,12450,12550,3001570,0.004
3/21/2019,12850,12900,12500,12500,4744360,-0.0234375
3/20/2019,12650,12850,12650,12800,4222210,0.007874016
3/19/2019,12800,12900,12700,12700,4335960,-0.011673152
3/18/2019,12950,13050,12850,12850,3314010,-0.007722008
3/15/2019,13000,13050,12850,12950,4399800,-0.003846154
3/14/2019,12850,13150,12750,13000,8277660,0.015625
3/13/2019,12750,12950,12750,12800,6154040,0.007874016
3/12/2019,12600,12700,12500,12700,3782210,0.011952191
3/11/2019,12600,12650,12450,12550,2106880,-0.003968254
3/8/2019,12700,12750,12550,12600,2904210,-0.015625
3/7/2019,12650,12900,12650,12800,3504640,0.011857708
3/6/2019,12700,12750,12600,12650,2020170,-0.003937008
3/5/2019,12750,12900,12650,12700,4727110,-0.003921569
3/4/2019,12750,12800,12650,12750,3063000,0.007905138
3/1/2019,12500,12650,12450,12650,2599200,0.028455285
2/28/2019,12750,12850,12300,12300,8437060,-0.031496063
2/27/2019,12800,12900,12700,12700,2409880,-0.0078125
2/26/2019,12900,12950,12700,12800,3764680,-0.007751938
2/25/2019,13100,13150,12900,12900,6896200,-0.011494253
2/22/2019,12800,13150,12800,13050,5726470,0.003846154
2/21/2019,12950,13000,12800,13000,4116800,0.007751938
2/20/2019,12850,13050,12700,12900,5454950,0.0078125
2/19/2019,13150,13150,12800,12800,5247880,-0.022900763
2/18/2019,13050,13200,12950,13100,3713540,0.007692308
2/15/2019,12900,13050,12750,13000,4507890,0.003861004
2/14/2019,12900,13050,12900,12950,4821990,-0.003846154
2/13/2019,13000,13100,12950,13000,6887720,0
2/12/2019,12850,13100,12800,13000,6462030,0.003861004
2/11/2019,12600,12950,12450,12950,6861770,0.044354839
2/1/2019,12300,12400,12200,12400,3351230,0.008130081
1/31/2019,12100,12400,12000,12300,5064350,0.025
1/30/2019,12150,12200,12000,12000,2487300,-0.012345679
1/29/2019,12200,12200,12050,12150,2870480,-0.008163265
1/28/2019,12350,12350,12100,12250,2703010,-0.004065041
1/25/2019,12200,12400,12150,12300,6422920,0.008196721
1/24/2019,12100,12200,12000,12200,3754610,0.004115226
1/23/2019,11750,12250,11700,12150,7824620,0.034042553
1/22/2019,11850,11850,11700,11750,4051900,0.004273504
1/21/2019,11350,11850,11250,11700,6690440,0.04
1/18/2019,11250,11300,11050,11250,2620140,0.004464286
1/17/2019,11200,11400,11150,11200,1740540,-0.008849558
1/16/2019,11400,11450,11300,11300,2682420,0
1/15/2019,11250,11350,11200,11300,2159900,0.008928571
1/14/2019,11400,11450,11200,11200,1929220,-0.01754386
1/11/2019,11450,11500,11300,11400,2169340,0
1/10/2019,11500,11500,11350,11400,2073630,0
1/9/2019,11400,11550,11400,11400,2633920,0.004405286
1/8/2019,11500,11500,11300,11350,1572220,-0.013043478
1/7/2019,11400,11600,11350,11500,3702750,0.031390135
1/4/2019,11000,11350,10900,11150,3828780,0.004504505
1/3/2019,11500,11650,11100,11100,6284880,-0.043103448
1/2/2019,12000,12050,11600,11600,3858970,-0.029288703
12/28/2018,12000,12150,11950,11950,2108370,-0.004166667
