organCode,ticker,comGroupCode,icbCode,organTypeCode,comTypeCode,organName,organShortName,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,status,code,message,traceId
FCM,FCM,VNINDEX,2353,DN,CT,Công ty Cổ phần Khoáng sản FECON,Khoáng sản FECON,HOSE,Khoáng sản FECON,180,2353,Xây dựng và Vật liệu,Construction & Materials,2007,423,3204,0.03,http://www.feconmining.com.vn,3.9,0.076,0.165,-0.081,45.1,45.1,CT,,,,
FCN,FCN,VNINDEX,2357,DN,CT,Công ty Cổ phần FECON,FECON CORP,HOSE,FECON CORP,181,2357,Xây dựng và Vật liệu,Construction & Materials,2004,1392,23990,0.336,http://www.fecon.com.vn,3.2,-0.004,0.246,0,157.4,157.4,CT,,,,
FDC,FDC,VNINDEX,8633,DN,CT,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,FIDECO,HOSE,FIDECO,336,8633,Bất động sản,Real Estate,1993,174,0,0,http://www.fidecovn.com,3.6,-0.019,-0.136,-0.209,38.6,38.6,CT,,,,
FICO1,FIC,UpcomIndex,2353,DN,CT,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,VLXD số 1,UPCOM,VLXD số 1,180,2353,Xây dựng và Vật liệu,Construction & Materials,2010,67,163,0,http://www.fico.com.vn,3.3,-0.025,-0.063,0.471,127,127,CT,,,,
FID,FID,HNXIndex,8637,DN,CT,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Đầu tư và PT doanh nghiệp VN,HNX,Đầu tư và PT doanh nghiệp VN,339,8637,Bất động sản,Real Estate,2010,6,3953,0,http://www.vndi.vn,3.5,0.052,0.242,-0.394,24.7,24.7,CT,,,,
FIRSTREAL,FIR,VNINDEX,8633,DN,CT,Công ty Cổ phần Địa ốc First Real,Địa ốc First Real,HOSE,Địa ốc First Real,336,8633,Bất động sản,Real Estate,2014,36,599,0.006,https://fir.vn/,3.9,-0.016,-0.069,0.289,53.5,53.5,CT,,,,
FISHIPCO,FSO,UpcomIndex,2753,DN,CT,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Đóng tàu thủy sản VN,UPCOM,Đóng tàu thủy sản VN,188,2753,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006,68,179,0,http://www.dongtauthuysan.vn,3.6,-0.004,-0.025,0.12,5.6,5.6,CT,,,,
FIT,FIT,VNINDEX,8775,DN,CT,Công ty Cổ phần Tập đoàn F.I.T,Tập đoàn F.I.T,HOSE,Tập đoàn F.I.T,299,8775,Dịch vụ tài chính,Financial Services,2007,2122,8731,0,http://www.fitgroup.com.vn,3.5,0.087,0.428,-0.19,339.9,339.9,CT,,,,
FLC,FLC,UpcomIndex,8633,DN,CT,Công ty Cổ phần Tập đoàn FLC,Tập đoàn FLC,UPCOM,Tập đoàn FLC,336,8633,Bất động sản,Real Estate,2008,10000,32571,0.022,http://www.flc.vn,3.6,-0.004,-0.025,-0.25,710,710,CT,,,,
FLCS,ART,HNXIndex,8777,DN,CK,Công ty Cổ phần Chứng khoán BOS,Chứng khoán BOS,HNX,Chứng khoán BOS,300,8777,Dịch vụ tài chính,Financial Services,2008,28,14425,0.007,http://www.artexsc.com.vn,3.9,-0.004,-0.025,-0.62,96.9,96.9,CK,,,,
